Parsing time,Preprocessing time,Checking time,Related objects collection time,QP to QC conversion time,QC to QO conversion time,Query rewriting time,Cost-based optimization time,Collect Samples and Dcount Est.,Predicate Grant Injection,total,sql_exec_time,app_prep_time,app_exec_time
1,17,6,0,8,1,13,14,1,0,73,155,76.0,157.0
0,11,7,0,8,1,13,14,1,0,66,175,69.0,159.0
1,17,7,0,8,1,12,14,1,0,73,165,76.0,179.0
1,19,7,0,8,1,13,14,1,0,77,179,80.0,169.0
0,13,6,0,8,1,12,14,1,0,67,167,70.0,183.0
1,15,7,0,8,1,13,14,1,0,72,160,75.0,171.0
1,15,6,0,8,1,13,14,1,0,71,154,74.0,164.0
1,10,7,0,8,1,12,14,1,0,67,164,71.0,158.0
0,10,8,0,9,1,13,14,1,0,70,157,73.0,169.0
1,14,7,0,8,1,13,14,1,0,72,180,76.0,161.0
1,10,7,0,8,1,13,14,1,0,67,161,70.0,185.0
1,12,6,0,8,1,13,14,1,0,68,178,72.0,166.0
1,10,7,0,8,1,13,14,1,0,67,154,70.0,184.0
0,9,6,0,8,1,12,14,1,0,64,157,67.0,159.0
1,14,7,0,8,1,13,14,1,0,70,152,73.0,161.0
1,13,7,0,8,1,12,14,1,0,68,176,73.0,156.0
1,14,7,0,8,1,12,14,1,0,70,157,73.0,181.0
1,13,6,0,8,1,12,14,1,0,68,159,72.0,161.0
1,14,6,0,8,1,12,14,1,0,70,156,74.0,163.0
0,9,7,0,8,1,12,14,1,0,64,175,67.0,161.0
1,14,6,0,8,1,13,14,1,0,70,164,74.0,179.0
1,14,6,0,8,1,13,14,1,0,70,159,75.0,168.0
1,15,7,0,8,1,13,14,1,0,71,166,74.0,163.0
1,14,7,0,8,1,13,14,1,0,71,159,75.0,170.0
1,12,6,0,8,1,12,14,1,0,68,170,72.0,163.0
1,14,7,0,8,1,13,14,1,0,70,160,73.0,174.0
1,15,6,0,8,1,13,14,1,0,72,161,76.0,165.0
1,10,6,0,8,1,13,14,1,0,66,157,69.0,166.0
1,10,6,0,8,1,12,14,1,0,66,152,69.0,161.0
1,15,6,0,8,1,13,14,1,0,71,169,74.0,157.0
1,13,7,0,8,1,13,14,1,0,70,159,73.0,173.0
