Parsing time,Preprocessing time,Checking time,Related objects collection time,QP to QC conversion time,QC to QO conversion time,Query rewriting time,Cost-based optimization time,Predicate Grant Injection,Collect Samples and Dcount Est.,total,proc_time,sql_exec_time,app_prep_time,app_exec_time
0,13,6,0,7,0,119,14,100,1,171,7,167,175.0,159.0
0,8,6,0,8,0,116,14,94,1,163,9,163,166.0,172.0
0,13,6,0,8,0,117,14,95,1,169,9,159,173.0,168.0
0,12,6,0,8,1,123,19,99,1,179,11,159,183.0,164.0
0,8,6,0,8,0,117,14,95,1,164,9,160,167.0,163.0
0,12,6,0,8,1,115,14,93,1,166,9,166,170.0,164.0
0,12,6,0,8,0,121,14,98,1,172,10,165,176.0,171.0
0,8,6,0,8,0,115,14,94,1,162,9,168,165.0,169.0
0,8,6,0,8,0,125,14,101,1,174,11,156,178.0,173.0
0,8,6,0,8,1,117,14,95,1,165,9,161,168.0,160.0
0,8,6,0,8,1,115,14,94,1,162,9,167,166.0,165.0
0,14,6,0,9,1,115,14,93,1,171,9,163,174.0,171.0
0,10,6,0,8,1,115,14,94,1,165,9,172,168.0,168.0
0,12,6,0,8,1,128,14,104,1,180,11,170,183.0,177.0
0,12,6,0,8,0,122,14,100,1,173,9,158,178.0,175.0
0,11,6,0,8,1,116,14,94,1,166,9,167,170.0,162.0
0,8,6,0,8,1,124,14,100,1,172,11,164,176.0,172.0
0,10,6,0,8,0,115,14,93,1,166,9,178,171.0,169.0
0,11,6,0,8,1,125,14,101,1,177,11,177,180.0,183.0
0,14,6,0,8,1,118,14,96,1,172,9,177,176.0,181.0
0,10,6,0,8,0,116,14,94,1,166,9,160,170.0,181.0
0,11,6,0,8,0,116,14,94,1,167,9,180,171.0,164.0
0,14,6,0,7,1,116,14,94,1,169,9,171,173.0,184.0
0,12,6,0,8,1,114,14,92,1,166,9,179,170.0,175.0
0,12,6,0,10,1,122,14,99,1,177,10,167,181.0,183.0
0,10,6,0,8,1,123,14,99,1,173,11,172,177.0,172.0
0,9,6,0,8,0,120,14,96,1,168,11,167,171.0,178.0
0,15,6,0,7,1,116,14,94,1,171,9,169,174.0,172.0
0,10,6,0,8,1,116,14,94,1,166,9,165,169.0,173.0
0,8,6,0,8,1,125,14,101,1,173,11,166,176.0,169.0
0,9,6,0,8,1,115,14,94,1,163,9,159,167.0,171.0
0,13,6,0,8,1,123,14,100,1,176,11,164,180.0,164.0
0,11,6,0,8,1,124,14,100,1,176,11,165,180.0,168.0
0,15,6,0,8,1,138,14,113,1,194,12,165,198.0,169.0
0,13,6,0,8,1,123,14,99,1,176,11,168,180.0,170.0
0,11,6,0,8,1,115,14,93,1,164,9,190,168.0,173.0
0,15,6,0,8,1,118,14,95,1,175,10,169,179.0,194.0
0,14,6,0,10,1,122,14,98,1,179,11,166,183.0,174.0
0,13,6,0,8,1,115,14,93,1,167,9,162,171.0,171.0
0,13,6,0,8,1,117,14,94,1,170,10,161,174.0,167.0
0,15,6,0,10,1,117,14,95,1,176,9,157,179.0,166.0
0,12,6,0,8,1,115,14,93,1,167,9,171,170.0,161.0
0,8,6,0,8,1,125,14,102,1,173,10,160,176.0,175.0
0,14,6,0,9,1,122,14,98,1,179,11,172,182.0,165.0
0,14,6,0,8,1,115,14,93,1,169,9,165,173.0,178.0
0,11,6,0,8,1,118,14,96,1,169,9,163,173.0,169.0
0,7,6,0,7,0,116,14,94,1,162,9,161,166.0,168.0
0,7,6,0,12,1,114,14,93,1,166,9,183,169.0,165.0
0,15,6,0,8,1,116,14,93,1,170,10,161,174.0,188.0
0,8,6,0,8,0,116,14,94,1,163,9,167,167.0,165.0
0,9,6,0,8,1,116,14,93,1,164,10,166,168.0,174.0
0,10,6,0,8,1,118,14,95,1,168,10,179,171.0,171.0
0,11,6,0,8,1,122,14,97,1,173,12,167,177.0,183.0
0,9,6,0,8,1,115,14,94,1,164,9,171,167.0,172.0
0,13,6,0,8,1,115,14,93,1,168,9,161,171.0,176.0
0,12,6,0,7,0,114,14,93,1,165,9,183,168.0,165.0
0,10,6,0,8,0,122,14,98,1,172,11,163,175.0,188.0
0,10,6,0,8,1,116,14,94,1,166,9,168,169.0,168.0
0,14,6,0,8,0,116,14,94,1,171,9,167,175.0,172.0
0,11,6,0,8,0,122,14,97,1,173,12,173,177.0,172.0
0,11,6,0,8,1,118,14,95,1,170,10,171,174.0,177.0
0,12,6,0,7,1,119,14,96,1,170,10,166,174.0,175.0
0,8,6,0,8,1,118,14,95,1,166,10,174,170.0,171.0
0,12,6,0,7,1,116,14,94,1,167,9,178,171.0,180.0
0,7,6,0,8,1,122,14,98,1,169,11,157,172.0,183.0
0,8,6,0,8,1,120,14,97,1,168,10,167,172.0,161.0
0,8,6,0,8,1,116,14,93,1,163,10,169,166.0,171.0
0,10,6,0,7,1,115,14,93,1,164,9,162,167.0,173.0
0,15,11,0,8,1,129,14,105,1,184,11,175,187.0,166.0
0,11,6,0,8,1,120,14,97,1,171,10,162,174.0,180.0
0,11,6,0,8,1,115,14,92,1,165,10,175,168.0,167.0
0,11,6,0,8,0,115,14,93,1,166,9,172,170.0,180.0
0,13,6,0,7,1,120,14,97,1,173,10,156,177.0,176.0
0,9,6,0,8,1,115,14,93,1,164,9,186,168.0,161.0
0,15,6,0,10,1,116,14,93,1,175,10,163,179.0,190.0
0,12,6,0,8,1,118,14,96,1,171,9,162,175.0,167.0
0,10,6,0,8,1,116,14,93,1,165,10,172,168.0,166.0
0,13,6,0,8,1,123,14,99,1,176,11,153,180.0,177.0
0,9,6,0,8,1,122,14,98,1,172,11,162,176.0,157.0
0,8,6,0,8,1,117,14,95,1,165,9,160,169.0,166.0
0,13,6,0,8,1,117,14,95,1,172,9,160,176.0,164.0
0,10,6,0,8,1,118,14,94,1,168,10,161,171.0,164.0
0,8,7,0,9,1,135,16,109,1,187,12,199,191.0,167.0
0,11,6,0,8,1,126,14,102,1,177,11,159,181.0,205.0
0,10,6,0,7,1,116,14,93,1,165,10,169,168.0,164.0
0,10,6,0,8,1,123,14,97,1,173,14,156,177.0,173.0
0,11,6,0,7,1,116,14,93,1,167,10,165,170.0,161.0
0,15,6,0,8,1,115,14,94,1,172,9,163,175.0,170.0
0,8,6,0,8,1,116,14,93,1,163,10,165,167.0,168.0
0,15,6,0,9,1,116,14,93,1,173,10,171,177.0,169.0
0,13,6,0,8,1,119,14,96,1,173,10,165,176.0,177.0
