al_rewr_time,al_prep_time,al_exec_time,al_parse_time,sql_exec_time,app_exec_time
68,74,166,2358,162,3225.0
42,1,138,2655,134,3249.0
36,1,141,2846,138,3582.0
39,1,141,2442,137,3144.0
44,1,155,2688,149,3518.0
46,2,155,2551,148,3394.0
40,3,137,2473,132,3259.0
50,1,142,2787,137,3600.0
40,2,157,2874,152,3730.0
43,2,135,2714,131,3326.0
37,2,152,2464,147,3162.0
42,2,161,2359,156,3154.0
55,2,155,2608,150,3242.0
44,2,146,2593,141,3356.0
41,1,150,2774,144,3384.0
37,2,144,2543,139,3305.0
41,2,146,2469,142,3047.0
40,2,143,2327,139,3164.0
41,2,146,2753,141,3426.0
38,2,143,2606,138,3384.0
42,1,148,2864,143,3469.0
38,2,148,2689,144,3451.0
34,2,145,2712,140,3314.0
39,2,159,3109,154,3918.0
43,2,140,2550,135,3138.0
36,2,147,2393,142,3205.0
38,1,140,2319,136,2894.0
42,2,150,2439,145,3044.0
37,1,147,2285,142,2970.0
37,2,137,2541,133,3113.0
34,1,134,2724,129,3281.0
39,1,148,2433,143,3058.0
34,2,137,2560,133,3179.0
38,2,146,2570,141,3174.0
36,1,151,2721,146,3442.0
42,2,140,2797,136,3383.0
38,1,140,2276,136,2813.0
38,2,141,2457,137,3318.0
36,1,144,2486,140,3059.0
35,2,144,2251,140,2794.0
47,2,146,2655,140,3560.0
36,1,168,2502,163,3129.0
38,1,147,2484,143,3057.0
34,1,141,2298,137,2858.0
42,1,153,2781,147,3463.0
39,2,144,2725,140,3301.0
42,2,148,2410,144,3027.0
46,3,142,3064,138,3639.0
40,1,145,2510,141,3189.0
35,1,137,2264,133,2892.0
40,2,153,2731,148,3373.0
42,2,144,2305,139,2913.0
38,2,156,2792,152,3554.0
39,3,159,2490,154,3142.0
39,2,155,2648,150,3208.0
41,2,137,2538,133,3132.0
39,1,142,2293,137,3142.0
41,1,153,2356,148,2959.0
39,2,146,2546,141,3100.0
42,2,143,2609,138,3216.0
43,2,143,2313,138,2952.0
46,1,145,2446,140,3109.0
39,2,151,2267,145,2850.0
44,1,147,2369,142,2922.0
38,2,139,2280,134,2830.0
37,3,140,2972,136,3592.0
39,2,152,2673,147,3343.0
39,1,141,2434,136,3022.0
34,2,151,2801,146,3372.0
37,2,145,3015,141,3646.0
48,2,147,2359,143,2979.0
44,2,144,2327,140,2993.0
47,2,170,2408,164,3058.0
43,2,155,2819,151,3443.0
35,1,145,2500,141,3147.0
46,2,142,2316,138,2947.0
35,1,145,2416,140,3129.0
53,2,135,2765,131,3406.0
55,1,154,2437,147,3183.0
106,3,145,2539,141,3190.0
40,1,144,2334,139,2890.0
43,2,161,2622,156,3197.0
1392,2,149,2736,145,4734.0
43,3,149,2930,144,3553.0
41,2,145,2704,140,3310.0
39,2,136,2713,132,3269.0
56,2,144,2582,140,3161.0
48,2,145,2578,141,3164.0
38,1,156,2814,150,3534.0
41,2,152,2440,146,3050.0
36,2,143,2757,139,3380.0
41,2,153,2426,148,2994.0
36,1,143,2617,139,3237.0
46,1,148,2581,145,3248.0
40,2,150,2788,144,3443.0
44,2,146,2737,141,3349.0
43,1,136,2409,132,2990.0
43,6,141,2919,136,3470.0
39,2,165,3023,160,3591.0
40,2,145,2715,140,3489.0
