Parsing time,Preprocessing time,Checking time,Related objects collection time,QP to QC conversion time,QC to QO conversion time,Query rewriting time,Cost-based optimization time,Predicate Grant Injection,Collect Samples and Dcount Est.,total,proc_time,sql_exec_time,app_prep_time,app_exec_time
0,15,6,0,7,1,169,12,117,1,223,32,317,226.0,312.0
0,8,6,0,7,1,146,12,120,1,191,5,309,194.0,322.0
0,11,6,0,8,1,146,12,121,1,196,5,298,199.0,313.0
0,9,6,0,8,1,147,12,122,1,195,5,303,198.0,303.0
0,10,6,0,8,1,147,12,121,1,195,5,319,199.0,308.0
0,7,6,0,8,1,145,12,120,1,191,5,303,194.0,323.0
0,13,6,0,8,1,147,12,122,1,199,5,310,202.0,307.0
0,12,6,0,8,1,146,12,121,1,197,5,308,200.0,314.0
0,8,6,0,8,1,148,12,122,1,195,5,304,198.0,312.0
0,13,6,0,8,0,147,12,122,1,199,5,303,203.0,309.0
0,11,7,0,8,1,148,12,122,1,197,5,308,201.0,308.0
0,8,6,0,7,1,146,12,121,1,192,5,301,195.0,312.0
0,8,6,0,7,1,145,12,120,1,191,5,296,194.0,305.0
0,12,6,0,8,1,149,12,123,1,199,5,309,203.0,301.0
0,9,6,0,8,1,146,12,121,1,195,5,336,198.0,313.0
0,11,6,0,8,1,147,12,121,1,197,5,317,200.0,340.0
0,12,6,0,8,1,147,12,121,1,197,5,310,200.0,323.0
0,12,6,0,8,1,146,12,121,1,197,5,307,201.0,315.0
0,8,6,0,8,1,149,13,124,1,196,5,303,199.0,312.0
0,8,6,0,8,1,147,12,122,1,194,5,297,197.0,307.0
0,11,6,0,8,1,147,12,122,1,197,5,310,201.0,302.0
0,8,6,0,8,1,149,12,123,1,196,5,302,199.0,314.0
0,8,6,0,8,1,145,12,120,1,192,5,285,195.0,306.0
0,8,6,0,8,1,147,12,121,1,193,5,281,195.0,290.0
0,11,7,0,8,1,147,12,122,1,197,5,304,201.0,285.0
0,7,6,0,11,1,146,12,120,1,197,5,309,200.0,309.0
0,10,6,0,8,1,147,13,122,1,197,5,304,201.0,314.0
0,8,6,0,8,1,147,12,122,1,193,5,315,196.0,309.0
0,8,6,0,8,1,148,12,123,1,195,5,304,198.0,320.0
0,8,6,0,8,1,148,12,122,1,195,5,311,199.0,309.0
0,8,6,0,8,0,147,12,122,1,193,5,315,197.0,317.0
0,9,6,0,8,0,148,12,122,1,195,5,300,198.0,320.0
0,11,6,0,8,1,147,12,121,1,197,5,292,201.0,305.0
0,11,6,0,8,1,147,12,120,1,197,6,313,200.0,297.0
0,14,6,0,8,1,149,12,123,1,202,5,316,206.0,318.0
0,8,6,0,8,1,150,12,123,1,197,6,311,200.0,322.0
0,7,6,0,8,1,145,12,120,1,191,5,301,194.0,316.0
0,8,7,0,8,1,151,12,124,1,198,6,314,202.0,306.0
0,8,6,0,8,0,146,12,121,1,192,5,296,195.0,319.0
0,13,6,0,8,1,151,12,125,1,203,6,316,208.0,300.0
0,13,7,0,8,0,147,12,122,1,198,5,299,202.0,320.0
0,8,6,0,8,1,146,12,120,1,192,5,318,195.0,303.0
0,8,6,0,8,1,150,12,124,1,197,5,307,200.0,323.0
0,9,6,0,8,0,146,12,121,1,194,5,307,197.0,312.0
0,8,6,0,8,1,149,12,122,1,196,6,327,200.0,311.0
0,8,6,0,8,1,148,12,122,1,194,5,306,198.0,333.0
0,8,6,0,8,1,147,12,122,1,194,5,304,198.0,310.0
0,11,6,0,8,1,147,12,122,1,197,5,306,202.0,308.0
0,8,6,0,8,1,146,12,121,1,192,5,290,196.0,310.0
0,10,6,0,8,1,148,12,122,1,197,5,288,201.0,294.0
0,8,6,0,8,1,148,12,121,1,194,6,306,197.0,293.0
0,9,6,0,8,1,147,12,122,1,195,5,300,199.0,311.0
0,12,6,0,8,0,147,12,121,1,197,5,304,201.0,304.0
0,8,6,0,7,1,147,12,121,1,193,5,306,195.0,309.0
0,8,6,0,8,1,145,12,120,1,191,5,326,194.0,310.0
0,12,6,0,8,1,147,12,121,1,197,5,297,200.0,330.0
0,12,6,0,8,0,146,13,121,1,197,5,316,200.0,302.0
0,8,6,0,10,1,146,12,121,1,196,5,302,199.0,322.0
0,12,6,0,7,1,147,12,122,1,197,5,315,201.0,306.0
0,11,6,0,8,1,147,12,122,1,197,5,298,200.0,319.0
0,8,7,0,8,1,148,12,123,1,195,5,301,199.0,302.0
0,8,6,0,7,1,146,12,121,1,192,5,316,194.0,306.0
0,8,6,0,8,1,147,12,122,1,194,5,311,197.0,321.0
0,8,6,0,8,1,147,12,120,1,193,6,304,197.0,316.0
0,11,7,0,8,1,148,12,121,1,198,6,306,201.0,309.0
0,8,6,0,8,1,147,12,121,1,193,5,296,196.0,310.0
0,8,6,0,8,1,148,12,122,1,194,5,313,197.0,301.0
0,8,6,0,8,1,146,12,120,1,192,5,304,195.0,317.0
0,7,6,0,8,1,147,12,122,1,193,5,308,197.0,308.0
0,8,6,0,8,1,147,12,121,1,193,6,321,197.0,313.0
0,8,6,0,8,0,147,12,121,1,193,5,321,196.0,326.0
0,8,7,0,8,0,147,12,121,1,194,6,313,198.0,325.0
0,11,7,0,8,1,163,12,135,1,215,6,296,218.0,318.0
0,13,6,0,8,1,148,12,122,1,200,6,312,203.0,300.0
0,10,6,0,8,1,146,12,121,1,194,5,324,197.0,316.0
0,10,6,0,8,1,148,12,121,1,197,6,299,201.0,328.0
0,12,7,0,8,1,150,12,123,1,202,6,320,206.0,303.0
0,11,6,0,8,1,148,12,122,1,198,6,296,201.0,325.0
0,10,6,0,8,1,148,12,123,1,197,5,312,200.0,300.0
0,8,6,0,8,1,146,12,121,1,192,5,302,195.0,316.0
0,11,6,0,8,1,149,12,122,1,198,6,319,201.0,307.0
0,8,6,0,8,0,146,12,120,1,192,6,293,196.0,323.0
0,8,6,0,7,1,146,12,120,1,191,5,307,195.0,297.0
0,10,6,0,8,1,148,12,122,1,197,6,297,200.0,311.0
0,11,6,0,8,1,148,12,122,1,198,6,315,202.0,302.0
0,7,6,0,8,1,147,12,121,1,192,5,298,197.0,321.0
0,12,6,0,8,1,148,12,121,1,199,6,306,203.0,303.0
0,10,6,0,8,1,147,12,122,1,195,5,318,198.0,310.0
0,8,7,0,8,1,152,12,125,1,199,6,329,203.0,323.0
0,11,7,0,8,1,152,12,124,1,204,6,305,207.0,333.0
0,14,6,0,8,1,150,12,122,1,204,6,320,207.0,310.0
0,8,6,0,8,1,149,12,122,1,195,6,305,199.0,324.0
0,11,6,0,8,1,147,12,121,1,198,6,313,201.0,310.0
0,12,6,0,8,1,146,12,120,1,196,6,304,199.0,318.0
0,8,6,0,8,1,174,12,122,1,222,32,312,225.0,309.0
0,12,6,0,7,1,145,12,120,1,195,5,315,199.0,316.0
0,10,6,0,8,1,151,12,125,1,200,5,295,204.0,319.0
0,8,6,0,8,1,145,12,120,1,191,5,318,195.0,299.0
0,9,7,0,8,1,152,12,126,1,200,5,311,204.0,322.0
0,12,6,0,8,0,148,12,122,1,199,5,28,202.0,316.0
