Parsing time,Preprocessing time,Checking time,Related objects collection time,QP to QC conversion time,QC to QO conversion time,Query rewriting time,Cost-based optimization time,Predicate Grant Injection,Collect Samples and Dcount Est.,total,proc_time,sql_exec_time,app_prep_time,app_exec_time
0,15,6,0,8,1,172,3,124,1,219,25,65,222.0,80.0
0,15,6,0,9,1,235,3,123,1,283,89,64,286.0,86.0
0,10,6,0,7,1,234,3,122,1,274,89,62,278.0,88.0
0,11,6,0,7,1,235,3,123,1,275,89,70,278.0,85.0
0,10,6,0,8,1,236,3,123,1,275,90,76,279.0,92.0
0,9,6,0,8,0,235,3,123,1,274,89,68,277.0,98.0
0,9,6,0,7,1,235,3,123,1,273,89,84,277.0,91.0
0,10,6,0,8,1,237,3,124,1,277,90,64,280.0,116.0
0,15,6,0,8,1,241,3,125,1,287,92,62,291.0,86.0
0,16,6,0,10,1,243,3,126,1,293,93,62,297.0,84.0
0,11,7,0,8,1,247,3,130,1,288,93,61,292.0,86.0
0,15,6,0,8,1,241,3,123,1,289,91,71,293.0,83.0
0,14,6,0,8,1,237,3,123,1,280,91,72,284.0,92.0
0,14,6,0,8,1,236,3,123,1,280,90,60,283.0,93.0
0,8,6,0,8,0,242,3,125,1,279,94,71,283.0,82.0
0,8,6,0,8,1,243,3,125,1,281,94,62,283.0,103.0
0,15,6,0,8,1,239,3,123,1,286,93,61,289.0,85.0
0,8,6,0,8,1,238,3,123,1,280,92,61,284.0,81.0
0,12,6,0,8,1,238,3,123,1,280,92,62,284.0,85.0
0,11,6,0,8,1,241,3,124,1,282,93,65,286.0,83.0
0,13,6,0,8,1,239,3,124,1,281,92,60,285.0,95.0
0,13,7,0,8,1,239,3,124,1,282,92,65,285.0,80.0
0,15,6,0,8,1,238,3,123,1,284,92,71,287.0,86.0
0,10,6,0,8,1,243,3,125,1,284,95,65,287.0,93.0
0,9,6,0,8,1,239,3,123,1,278,93,55,281.0,87.0
0,11,6,0,7,1,239,3,123,1,279,93,71,283.0,78.0
0,16,7,0,8,1,244,3,125,1,292,95,61,295.0,95.0
0,13,6,0,8,1,244,3,123,1,287,94,63,290.0,84.0
0,15,6,0,8,1,240,3,123,1,287,94,59,291.0,88.0
0,13,6,0,8,1,245,3,126,1,289,96,70,293.0,84.0
0,8,6,0,7,0,240,3,124,1,277,93,71,281.0,90.0
0,15,6,0,8,0,238,3,122,1,284,93,68,287.0,93.0
0,10,7,0,8,1,241,3,124,1,280,94,64,284.0,91.0
0,11,6,0,8,1,243,3,124,1,285,96,66,288.0,87.0
0,9,6,0,8,1,240,3,124,1,278,93,65,281.0,85.0
