al_rewr_time,al_prep_time,al_exec_time,al_parse_time,sql_exec_time,app_exec_time
103,3,58,6889,37,8555.0
73,3,68,7761,46,8943.0
70,2,64,7741,39,9103.0
71,2,60,6440,36,7769.0
73,2,69,7413,45,8611.0
69,2,72,6812,49,8354.0
65,2,65,6401,42,7661.0
69,2,61,6727,39,8105.0
69,2,56,7555,34,8753.0
68,2,69,6808,47,8042.0
72,2,64,6704,44,8041.0
75,2,68,6569,46,7882.0
71,2,71,7101,45,8521.0
68,2,68,6957,46,8131.0
67,2,68,6632,44,8047.0
81,3,69,6345,48,7483.0
69,1,66,6530,45,8137.0
72,2,64,6428,42,7569.0
67,2,71,6671,42,8229.0
66,2,52,7340,32,8415.0
72,2,67,6922,42,8594.0
73,3,68,6775,41,7975.0
76,2,66,7197,43,8333.0
108,1,77,8051,48,9449.0
72,1,88,6957,58,8239.0
65,2,69,6763,45,8294.0
75,1,71,6375,44,7570.0
76,2,60,7040,36,8174.0
74,2,67,7245,42,8542.0
72,2,73,7321,48,8416.0
70,2,67,6630,40,7767.0
73,1,56,7106,32,8378.0
63,2,61,7404,39,8491.0
71,2,85,6621,54,7820.0
79,2,69,7288,46,8525.0
64,2,63,8021,36,9105.0
69,2,63,6374,41,7466.0
69,2,66,7794,45,9190.0
70,3,67,6948,47,8100.0
68,3,68,6301,47,7409.0
70,3,72,7245,46,8513.0
70,2,62,6727,38,8118.0
65,2,71,7700,46,8795.0
69,2,67,7260,44,8371.0
64,2,68,6947,44,8136.0
85,2,64,6603,41,8049.0
62,1,51,8060,31,9133.0
76,1,60,7686,37,8780.0
72,2,73,6291,49,7442.0
74,2,77,7289,49,8809.0
64,1,65,6953,45,8216.0
76,3,67,7242,45,8349.0
65,1,63,7448,37,8729.0
69,2,70,7550,44,8882.0
66,2,77,6373,55,7481.0
80,2,70,7493,47,8601.0
73,3,73,6513,50,7651.0
73,2,62,7421,33,8725.0
71,2,58,7632,35,9012.0
67,1,63,6927,40,8053.0
74,2,64,6966,38,8177.0
66,2,70,7524,42,8666.0
71,2,73,6301,49,7413.0
68,2,67,6414,38,7866.0
74,1,65,6800,45,7967.0
74,2,65,6917,42,8071.0
75,2,75,7198,50,8595.0
70,2,66,7383,42,8789.0
59,2,59,6525,39,7860.0
69,2,91,7253,62,8576.0
68,1,64,7908,40,9188.0
69,2,57,6860,33,8013.0
67,2,65,6469,37,7652.0
69,3,73,7440,51,8673.0
71,1,55,6227,31,7513.0
75,2,67,6121,44,7388.0
77,2,70,8209,47,9407.0
67,2,77,7499,55,8676.0
72,2,87,8385,59,9776.0
58,2,76,7050,51,8149.0
64,3,73,7499,47,8664.0
79,1,62,6862,35,8171.0
71,2,63,6521,42,7735.0
77,1,60,7345,33,8742.0
63,2,58,7162,37,8399.0
74,3,66,8307,40,9582.0
154,3,66,7148,38,8516.0
71,2,66,7835,45,9123.0
67,2,72,7069,48,8445.0
72,3,83,8175,51,9387.0
78,1,77,7263,53,8699.0
71,2,56,6497,33,7646.0
68,2,66,7869,44,9316.0
61,2,61,7619,40,8723.0
63,2,62,8182,42,9546.0
71,2,53,6536,32,7817.0
51,1,58,6325,36,7616.0
63,3,67,7035,46,8261.0
66,1,92,7054,59,8383.0
64,2,67,7182,44,8279.0
