al_rewr_time,al_prep_time,al_exec_time,al_parse_time,sql_exec_time,app_exec_time
350,1,68,7532,40,9316.0
155,2,70,6712,50,8317.0
176,1,73,7607,51,9379.0
165,2,72,8055,50,9540.0
474,2,80,8863,53,11118.0
162,2,78,7642,48,9307.0
165,3,79,7188,50,8929.0
249,1,53,7906,32,9462.0
178,2,69,8047,46,9814.0
165,2,66,7129,39,8973.0
158,2,73,7102,49,8606.0
165,2,79,8476,53,9985.0
164,2,66,6916,41,8397.0
166,2,74,7617,51,9180.0
170,2,64,7427,43,9110.0
165,2,65,7506,41,9032.0
166,1,67,7403,44,9021.0
168,2,66,7932,43,9622.0
164,3,63,7444,42,9152.0
204,2,77,7954,54,9485.0
179,2,79,7859,49,9344.0
162,2,68,6817,44,8280.0
165,2,78,7110,52,9156.0
154,1,66,8156,44,9606.0
171,2,69,7873,48,9347.0
202,2,63,8348,42,9839.0
167,2,81,6964,58,8524.0
169,3,74,7638,47,9688.0
163,3,72,8046,46,9516.0
157,2,69,7553,46,9320.0
162,2,68,8613,46,10065.0
163,2,71,7299,48,8762.0
175,1,63,6855,42,8558.0
155,2,58,8285,38,9717.0
165,2,77,7957,53,9591.0
160,2,66,6938,41,8426.0
156,2,69,7225,45,8675.0
164,3,62,8243,41,9759.0
203,2,67,8142,44,9648.0
165,2,63,8284,43,9739.0
157,2,64,7226,35,8674.0
127,3,71,6861,46,8672.0
158,3,69,8229,45,9957.0
143,2,70,8895,47,10416.0
157,2,67,9291,46,10768.0
165,4,89,7112,62,8789.0
155,1,55,7039,35,8482.0
166,2,72,7349,48,8831.0
163,2,64,8317,41,10175.0
161,2,68,7203,41,8855.0
165,2,64,8244,42,9702.0
157,2,67,7300,44,8781.0
160,1,58,6958,35,8441.0
159,2,70,7584,48,9244.0
163,2,70,7312,45,8774.0
158,2,68,8433,45,9947.0
150,2,71,8326,50,10380.0
160,2,67,7875,47,9323.0
158,2,63,8684,41,10133.0
169,2,82,7168,47,8880.0
158,2,85,7282,58,9033.0
157,1,61,7253,35,8855.0
166,2,78,7594,49,9062.0
171,2,67,7836,44,9614.0
164,2,59,7689,37,9239.0
168,2,86,7942,54,9426.0
160,2,65,7826,42,9279.0
167,3,80,8268,54,9822.0
185,1,56,6801,33,8296.0
164,1,75,7751,55,9219.0
204,1,62,8036,41,9630.0
156,2,77,6956,52,8456.0
164,2,71,7440,50,8893.0
159,3,64,7811,42,9440.0
164,2,77,8331,54,10042.0
157,2,72,8207,48,9790.0
168,1,59,9325,38,11553.0
181,2,71,8488,50,10290.0
175,2,80,8024,55,10339.0
184,3,63,9290,40,10855.0
183,2,87,7036,55,8546.0
168,2,67,7824,45,9301.0
246,2,72,7333,48,9156.0
165,2,71,7137,48,8612.0
161,2,64,7548,40,9021.0
155,2,72,7971,49,9872.0
168,2,52,8213,32,9686.0
156,2,70,6640,50,8382.0
164,3,65,8404,41,10162.0
167,1,59,7765,40,9253.0
166,3,67,6688,41,8360.0
168,3,70,8598,46,10379.0
171,2,70,7933,47,9405.0
162,3,67,6966,44,8445.0
161,3,72,8560,50,10310.0
150,1,58,7468,33,8928.0
169,2,72,7718,47,9212.0
155,1,57,7819,35,9296.0
164,2,71,7922,49,10081.0
177,2,74,8590,48,10249.0
